timestamps,pupil_size,pupil_x,pupil_y,message
2017-06-25 11:31:16.888,17.263,845.978,439.8577,
2017-06-25 11:31:16.905,17.36335,849.7886,442.5728,
2017-06-25 11:31:16.921,17.33225,848.7097,443.6786,
2017-06-25 11:31:16.938,17.09735,852.489,439.1665,
2017-06-25 11:31:16.955,17.2265,850.1394,438.4929,
2017-06-25 11:31:16.971,16.9279,848.1679,436.923,
2017-06-25 11:31:16.988,17.4868,847.9447,434.2363,
2017-06-25 11:31:17.005,16.98985,846.3035,434.8316,
2017-06-25 11:31:17.021,17.32555,846.8179,442.0635,
2017-06-25 11:31:17.038,17.58365,847.0078,446.095,
2017-06-25 11:31:17.054,17.3623,844.7331,447.1472,
2017-06-25 11:31:17.071,16.99935,842.6989,445.982,
2017-06-25 11:31:17.088,17.30445,841.5648,445.8224,
2017-06-25 11:31:17.104,17.0155,842.752,446.03,
2017-06-25 11:31:17.121,17.30795,842.6191,448.5147,
2017-06-25 11:31:17.138,16.89955,842.5975,447.4171,
2017-06-25 11:31:17.154,16.8354,841.3456,448.2154,
2017-06-25 11:31:17.171,17.00745,840.9843,447.0287,
2017-06-25 11:31:17.188,16.75655,839.3041,446.3186,
2017-06-25 11:31:17.204,16.9569,838.1404,446.3014,
2017-06-25 11:31:17.221,16.75585,836.6669,445.8466,
2017-06-25 11:31:17.238,17.10055,838.1159,446.0562,
2017-06-25 11:31:17.254,16.75345,838.2737,443.0515,
2017-06-25 11:31:17.271,16.7867,839.2733,438.4352,
2017-06-25 11:31:17.288,16.9613,841.9103,436.0934,
2017-06-25 11:31:17.304,17.107,872.1435,370.9891,
2017-06-25 11:31:17.321,17.1389,870.9891,380.1539,
2017-06-25 11:31:17.337,17.07745,870.524,399.0804,
2017-06-25 11:31:17.354,17.08425,879.6846,412.0099,
2017-06-25 11:31:17.371,16.86395,880.9609,398.9708,
2017-06-25 11:31:17.387,17.1074,885.0793,402.5452,
2017-06-25 11:31:17.404,17.18155,883.8054,400.5031,
2017-06-25 11:31:17.421,16.8994,885.2328,401.0502,
2017-06-25 11:31:17.438,17.272,884.3138,399.2841,
2017-06-25 11:31:17.454,17.29795,887.3023,399.2921,
2017-06-25 11:31:17.471,17.0594,886.1065,396.4985,
2017-06-25 11:31:17.487,17.1355,885.441,393.9184,
2017-06-25 11:31:17.504,17.6156,883.9532,394.4166,
2017-06-25 11:31:17.521,17.41875,887.5813,399.4583,
2017-06-25 11:31:17.537,17.66825,967.2203,581.7302,
2017-06-25 11:31:17.554,17.91025,966.8536,547.8762,
2017-06-25 11:31:17.571,17.57495,947.3141,514.6581,
2017-06-25 11:31:17.587,17.51315,947.3849,500.0289,
2017-06-25 11:31:17.604,17.67915,951.1632,495.3726,
2017-06-25 11:31:17.620,17.9746,952.0578,485.4689,
2017-06-25 11:31:17.637,18.04855,950.0367,471.8135,
2017-06-25 11:31:17.654,18.3842,954.11,469.7938,
2017-06-25 11:31:17.670,17.92695,956.0178,467.6767,
2017-06-25 11:31:17.687,17.93745,957.7548,465.5011,
